ds,y,TEMP,DEWP,PRES,WSPM,RAIN,wd_sin,wd_cos,y_log
2013-03-01 00:00:00,5.0,-0.5,-21.4,1024.5,5.7,0.0,-0.38268343236508956,0.9238795325112868,1.791759469228055
2013-03-01 01:00:00,8.0,-0.7,-22.1,1025.1,3.9,0.0,-0.7071067811865477,0.7071067811865474,2.1972245773362196
2013-03-01 02:00:00,3.0,-1.2,-24.6,1025.3,5.3,0.0,-0.38268343236508956,0.9238795325112868,1.3862943611198906
2013-03-01 03:00:00,5.0,-1.4,-25.5,1026.2,4.9,0.0,0.0,1.0,1.791759469228055
2013-03-01 04:00:00,5.0,-1.9,-24.5,1027.1,3.2,0.0,-0.38268343236508956,0.9238795325112868,1.791759469228055
2013-03-01 05:00:00,3.0,-2.4,-21.3,1027.5,2.4,0.0,-0.7071067811865477,0.7071067811865474,1.3862943611198906
2013-03-01 06:00:00,4.0,-2.5,-20.4,1028.2,2.2,0.0,-0.7071067811865477,0.7071067811865474,1.6094379124341003
2013-03-01 07:00:00,3.0,-1.4,-20.4,1029.5,3.0,0.0,-0.38268343236508956,0.9238795325112868,1.3862943611198906
2013-03-01 08:00:00,3.0,-0.3,-21.2,1030.4,4.6,0.0,-0.7071067811865477,0.7071067811865474,1.3862943611198906
2013-03-01 09:00:00,11.0,0.4,-23.3,1030.5,5.5,0.0,0.0,1.0,2.4849066497880004
2013-03-01 10:00:00,3.0,1.4,-22.5,1030.2,5.2,0.0,0.0,1.0,1.3862943611198906
2013-03-01 11:00:00,3.0,2.9,-22.9,1029.8,5.3,0.0,-0.38268343236508956,0.9238795325112868,1.3862943611198906
2013-03-01 12:00:00,3.0,4.0,-21.2,1028.6,4.6,0.0,-1.0,-1.8369701987210297e-16,1.3862943611198906
2013-03-01 13:00:00,3.0,5.0,-21.2,1027.8,4.5,0.0,-0.7071067811865477,0.7071067811865474,1.3862943611198906
2013-03-01 14:00:00,6.0,6.2,-22.2,1027.6,4.0,0.0,-0.7071067811865477,0.7071067811865474,1.9459101490553132
2013-03-01 15:00:00,5.0,6.0,-21.3,1027.7,2.1,0.0,-0.38268343236508956,0.9238795325112868,1.791759469228055
2013-03-01 16:00:00,5.0,5.6,-20.7,1027.7,1.8,0.0,0.0,1.0,1.791759469228055
2013-03-01 17:00:00,10.0,4.4,-20.9,1028.2,3.5,0.0,0.0,1.0,2.3978952727983707
2013-03-01 18:00:00,11.0,3.2,-20.3,1029.4,0.5,0.0,-0.38268343236508956,0.9238795325112868,2.4849066497880004
2013-03-01 19:00:00,11.0,3.0,-19.7,1030.1,1.1,0.0,0.0,1.0,2.4849066497880004
2013-03-01 20:00:00,10.0,1.6,-19.0,1031.3,1.2,0.0,0.9238795325112867,0.38268343236508984,2.3978952727983707
2013-03-01 21:00:00,12.0,0.8,-19.7,1032.4,1.0,0.0,0.7071067811865476,0.7071067811865476,2.5649493574615367
2013-03-01 22:00:00,17.0,0.1,-19.2,1032.9,1.8,0.0,0.9238795325112867,0.38268343236508984,2.8903717578961645
2013-03-01 23:00:00,6.0,-0.5,-19.7,1032.8,2.1,0.0,0.7071067811865476,0.7071067811865476,1.9459101490553132
2013-03-02 00:00:00,13.0,-0.7,-18.3,1033.0,0.6,0.0,1.0,6.123233995736766e-17,2.6390573296152584
